user_id,R,F,user_type,user_type_name
2,1,7,1,高价值用户
4,3,4,2,潜力用户
11,8,1,0,流失用户
16,2,2,2,潜力用户
17,2,1,2,潜力用户
20,2,1,2,潜力用户
24,6,1,0,流失用户
25,4,3,0,流失用户
27,2,1,2,潜力用户
28,1,3,2,潜力用户
30,6,1,0,流失用户
33,3,3,2,潜力用户
38,2,1,2,潜力用户
39,1,5,2,潜力用户
40,2,1,2,潜力用户
41,1,12,1,高价值用户
43,0,6,1,高价值用户
44,5,1,0,流失用户
45,0,4,2,潜力用户
46,1,5,2,潜力用户
48,0,2,2,潜力用户
49,0,1,2,潜力用户
50,0,19,1,高价值用户
51,1,1,2,潜力用户
57,1,2,2,潜力用户
59,7,3,0,流失用户
61,0,11,1,高价值用户
62,0,3,2,潜力用户
63,5,3,0,流失用户
65,1,2,2,潜力用户
66,0,4,2,潜力用户
68,0,4,2,潜力用户
71,2,1,2,潜力用户
72,2,2,2,潜力用户
73,2,2,2,潜力用户
75,0,10,1,高价值用户
76,3,1,2,潜力用户
77,1,2,2,潜力用户
80,2,7,1,高价值用户
81,4,2,0,流失用户
82,6,1,0,流失用户
83,6,2,0,流失用户
86,8,1,0,流失用户
88,1,1,2,潜力用户
90,6,1,0,流失用户
91,0,2,2,潜力用户
92,6,1,0,流失用户
95,4,1,0,流失用户
96,2,2,2,潜力用户
98,1,2,2,潜力用户
100,5,8,1,高价值用户
101,0,7,1,高价值用户
103,6,1,0,流失用户
105,7,3,0,流失用户
106,6,2,0,流失用户
107,6,1,0,流失用户
108,0,2,2,潜力用户
109,1,2,2,潜力用户
110,5,1,0,流失用户
113,1,1,2,潜力用户
114,1,5,2,潜力用户
116,1,10,1,高价值用户
117,5,10,1,高价值用户
119,4,3,0,流失用户
120,5,3,0,流失用户
121,8,1,0,流失用户
122,1,2,2,潜力用户
123,1,2,2,潜力用户
126,4,1,0,流失用户
128,0,4,2,潜力用户
129,0,12,1,高价值用户
130,0,3,2,潜力用户
131,1,9,1,高价值用户
132,5,1,0,流失用户
135,3,1,2,潜力用户
136,3,2,2,潜力用户
137,2,1,2,潜力用户
140,4,1,0,流失用户
141,8,3,0,流失用户
143,2,5,2,潜力用户
146,0,5,2,潜力用户
147,0,5,2,潜力用户
149,2,1,2,潜力用户
150,1,5,2,潜力用户
151,1,2,2,潜力用户
152,0,3,2,潜力用户
153,6,1,0,流失用户
154,1,1,2,潜力用户
156,1,1,2,潜力用户
157,1,3,2,潜力用户
158,2,1,2,潜力用户
162,1,1,2,潜力用户
163,7,1,0,流失用户
164,7,1,0,流失用户
165,8,1,0,流失用户
168,0,2,2,潜力用户
170,5,1,0,流失用户
171,7,1,0,流失用户
172,5,1,0,流失用户
173,2,5,2,潜力用户
174,2,1,2,潜力用户
177,6,1,0,流失用户
178,2,2,2,潜力用户
179,6,1,0,流失用户
182,1,1,2,潜力用户
183,3,5,2,潜力用户
184,0,2,2,潜力用户
186,3,1,2,潜力用户
187,7,1,0,流失用户
189,6,1,0,流失用户
190,1,7,1,高价值用户
191,8,1,0,流失用户
192,0,13,1,高价值用户
196,2,3,2,潜力用户
197,7,2,0,流失用户
200,2,1,2,潜力用户
201,5,1,0,流失用户
202,3,2,2,潜力用户
204,3,1,2,潜力用户
206,3,1,2,潜力用户
208,0,3,2,潜力用户
209,1,3,2,潜力用户
210,0,2,2,潜力用户
211,8,3,0,流失用户
212,1,5,2,潜力用户
214,0,2,2,潜力用户
215,1,1,2,潜力用户
216,2,6,1,高价值用户
219,6,1,0,流失用户
221,2,3,2,潜力用户
223,1,1,2,潜力用户
225,3,4,2,潜力用户
226,4,3,0,流失用户
227,0,2,2,潜力用户
230,5,2,0,流失用户
231,3,2,2,潜力用户
232,1,4,2,潜力用户
233,0,2,2,潜力用户
234,8,1,0,流失用户
238,4,1,0,流失用户
239,7,3,0,流失用户
240,0,3,2,潜力用户
241,4,3,0,流失用户
244,1,2,2,潜力用户
245,0,7,1,高价值用户
246,3,1,2,潜力用户
248,2,2,2,潜力用户
249,4,3,0,流失用户
250,7,1,0,流失用户
251,1,6,1,高价值用户
252,0,13,1,高价值用户
254,2,3,2,潜力用户
255,5,2,0,流失用户
256,3,6,1,高价值用户
257,5,1,0,流失用户
259,2,4,2,潜力用户
261,6,1,0,流失用户
264,1,2,2,潜力用户
265,6,2,0,流失用户
266,0,3,2,潜力用户
268,4,1,0,流失用户
270,7,1,0,流失用户
271,6,1,0,流失用户
272,8,1,0,流失用户
273,4,2,0,流失用户
274,0,4,2,潜力用户
275,0,3,2,潜力用户
276,2,4,2,潜力用户
277,1,6,1,高价值用户
280,0,3,2,潜力用户
281,1,1,2,潜力用户
284,0,7,1,高价值用户
285,7,1,0,流失用户
286,2,3,2,潜力用户
287,2,3,2,潜力用户
290,3,3,2,潜力用户
291,1,3,2,潜力用户
293,0,3,2,潜力用户
294,1,3,2,潜力用户
295,5,1,0,流失用户
296,6,4,0,流失用户
298,2,1,2,潜力用户
299,1,2,2,潜力用户
300,5,1,0,流失用户
301,7,1,0,流失用户
303,1,5,2,潜力用户
304,0,5,2,潜力用户
307,5,2,0,流失用户
308,6,3,0,流失用户
309,0,5,2,潜力用户
310,2,1,2,潜力用户
311,0,9,1,高价值用户
312,0,8,1,高价值用户
313,1,6,1,高价值用户
317,0,6,1,高价值用户
318,3,2,2,潜力用户
320,8,1,0,流失用户
321,0,4,2,潜力用户
322,1,10,1,高价值用户
325,0,2,2,潜力用户
326,0,1,2,潜力用户
329,5,1,0,流失用户
330,1,3,2,潜力用户
331,1,3,2,潜力用户
338,1,2,2,潜力用户
339,5,5,0,流失用户
340,2,5,2,潜力用户
341,0,2,2,潜力用户
342,6,4,0,流失用户
343,4,8,1,高价值用户
344,1,2,2,潜力用户
345,0,6,1,高价值用户
346,4,1,0,流失用户
347,6,1,0,流失用户
348,1,1,2,潜力用户
351,1,3,2,潜力用户
352,0,3,2,潜力用户
353,1,4,2,潜力用户
357,8,1,0,流失用户
358,2,6,1,高价值用户
359,3,3,2,潜力用户
360,0,3,2,潜力用户
361,2,8,1,高价值用户
362,1,6,1,高价值用户
363,1,2,2,潜力用户
364,5,1,0,流失用户
365,0,1,2,潜力用户
366,1,5,2,潜力用户
367,5,2,0,流失用户
368,0,8,1,高价值用户
369,5,1,0,流失用户
370,4,1,0,流失用户
371,4,1,0,流失用户
373,0,2,2,潜力用户
375,4,1,0,流失用户
376,1,4,2,潜力用户
377,1,2,2,潜力用户
378,0,3,2,潜力用户
379,4,3,0,流失用户
380,6,2,0,流失用户
381,3,1,2,潜力用户
382,5,2,0,流失用户
384,7,6,0,流失用户
385,0,3,2,潜力用户
387,0,9,1,高价值用户
388,6,1,0,流失用户
389,3,2,2,潜力用户
390,0,2,2,潜力用户
391,0,10,1,高价值用户
393,6,1,0,流失用户
395,1,2,2,潜力用户
396,1,3,2,潜力用户
399,2,2,2,潜力用户
400,8,2,0,流失用户
401,1,14,1,高价值用户
402,2,1,2,潜力用户
403,3,2,2,潜力用户
404,7,1,0,流失用户
405,6,2,0,流失用户
406,1,3,2,潜力用户
407,2,4,2,潜力用户
409,7,3,0,流失用户
410,1,6,1,高价值用户
411,5,2,0,流失用户
412,0,3,2,潜力用户
413,1,4,2,潜力用户
417,0,3,2,潜力用户
419,3,1,2,潜力用户
421,6,2,0,流失用户
422,6,1,0,流失用户
423,0,2,2,潜力用户
424,1,1,2,潜力用户
425,2,6,1,高价值用户
428,0,3,2,潜力用户
429,4,4,0,流失用户
430,4,2,0,流失用户
431,6,1,0,流失用户
433,2,3,2,潜力用户
434,4,2,0,流失用户
435,0,10,1,高价值用户
436,1,3,2,潜力用户
438,1,5,2,潜力用户
440,2,2,2,潜力用户
442,5,7,1,高价值用户
446,4,2,0,流失用户
447,1,1,2,潜力用户
448,2,2,2,潜力用户
449,0,4,2,潜力用户
450,1,5,2,潜力用户
453,3,6,1,高价值用户
454,1,1,2,潜力用户
455,0,3,2,潜力用户
457,0,1,2,潜力用户
459,0,1,2,潜力用户
460,7,1,0,流失用户
461,2,4,2,潜力用户
462,5,1,0,流失用户
464,0,3,2,潜力用户
465,7,1,0,流失用户
466,6,1,0,流失用户
467,0,3,2,潜力用户
468,7,3,0,流失用户
470,0,22,1,高价值用户
471,0,1,2,潜力用户
472,2,2,2,潜力用户
473,8,8,0,流失用户
474,5,2,0,流失用户
475,8,1,0,流失用户
476,0,11,1,高价值用户
478,6,1,0,流失用户
479,0,1,2,潜力用户
480,0,2,2,潜力用户
481,0,7,1,高价值用户
483,0,3,2,潜力用户
484,1,3,2,潜力用户
485,2,3,2,潜力用户
486,0,6,1,高价值用户
491,4,1,0,流失用户
492,2,2,2,潜力用户
493,6,1,0,流失用户
494,2,3,2,潜力用户
495,1,1,2,潜力用户
496,2,4,2,潜力用户
497,3,2,2,潜力用户
498,8,1,0,流失用户
499,1,2,2,潜力用户
501,6,1,0,流失用户
502,8,1,0,流失用户
507,5,2,0,流失用户
511,7,1,0,流失用户
513,1,1,2,潜力用户
515,3,6,1,高价值用户
517,0,3,2,潜力用户
520,3,2,2,潜力用户
521,2,2,2,潜力用户
522,4,2,0,流失用户
523,1,4,2,潜力用户
524,2,5,2,潜力用户
526,0,4,2,潜力用户
527,1,1,2,潜力用户
528,5,1,0,流失用户
531,1,2,2,潜力用户
532,2,3,2,潜力用户
533,5,4,0,流失用户
535,2,14,1,高价值用户
536,1,4,2,潜力用户
537,2,1,2,潜力用户
538,5,1,0,流失用户
543,5,2,0,流失用户
546,0,1,2,潜力用户
547,2,3,2,潜力用户
549,1,2,2,潜力用户
551,3,4,2,潜力用户
552,1,1,2,潜力用户
553,2,1,2,潜力用户
555,7,1,0,流失用户
556,3,1,2,潜力用户
557,0,10,1,高价值用户
558,1,2,2,潜力用户
559,3,2,2,潜力用户
561,2,3,2,潜力用户
562,0,1,2,潜力用户
563,2,7,1,高价值用户
564,1,7,1,高价值用户
565,4,3,0,流失用户
567,0,8,1,高价值用户
568,5,1,0,流失用户
571,3,6,1,高价值用户
573,8,1,0,流失用户
574,1,2,2,潜力用户
575,8,1,0,流失用户
579,3,2,2,潜力用户
580,1,10,1,高价值用户
581,1,1,2,潜力用户
584,0,6,1,高价值用户
585,5,1,0,流失用户
587,1,2,2,潜力用户
588,1,1,2,潜力用户
590,0,2,2,潜力用户
592,2,4,2,潜力用户
596,7,1,0,流失用户
597,2,3,2,潜力用户
598,2,2,2,潜力用户
599,0,15,1,高价值用户
600,4,1,0,流失用户
601,5,2,0,流失用户
603,3,3,2,潜力用户
606,0,2,2,潜力用户
608,0,2,2,潜力用户
609,3,4,2,潜力用户
610,0,2,2,潜力用户
613,2,1,2,潜力用户
614,7,1,0,流失用户
615,0,3,2,潜力用户
616,1,3,2,潜力用户
617,1,3,2,潜力用户
618,1,1,2,潜力用户
619,6,2,0,流失用户
620,7,2,0,流失用户
621,0,7,1,高价值用户
622,0,11,1,高价值用户
623,0,3,2,潜力用户
624,0,4,2,潜力用户
625,4,2,0,流失用户
626,0,1,2,潜力用户
627,0,2,2,潜力用户
629,1,9,1,高价值用户
631,7,1,0,流失用户
632,1,6,1,高价值用户
